132,0101000020E610000064C91CCBBB8F5EC0F86008EF61E14240,0102830,58895,Park St:San Jose Av,20 21 314 663,"['20', '21', '314', '663']"
133,0101000020E610000019AE0E80B88F5EC02EDC5E775FE14240,0102840,57767,Park St:San Jose Av,20 21 314 663,"['20', '21', '314', '663']"
135,0101000020E6100000214D0691D68F5EC02BF3FBA314DF4240,0102900,58843,Robert Davey Jr Dr:Channing Way,21,['21']
136,0101000020E61000008D502278B28F5EC0E08101840FDF4240,0102910,58827,Robert Davey Jr Dr:Oyster Pond Rd,21 631 687,"['21', '631', '687']"
137,0101000020E61000001DA1B0D5AF8F5EC0C0817F0008DF4240,0102920,55024,Robert Davey Jr Dr:Oyster Pond Rd,21,['21']
138,0101000020E6100000D843A09F4E8F5EC0C4E51D4C2FDF4240,0102930,58837,Robert Davey Jr Dr:Packet Landing Rd,21,['21']
139,0101000020E61000008D34A781558F5EC03685DF9744DF4240,0102940,55278,Robert Davey Jr Dr:Packet Landing Rd,21 OX 631 687,"['21', '631', '687']"
140,0101000020E61000000D78F41A968F5EC0B20DDC813ADF4240,0102950,52270,Robert Davey Jr Dr:Puddingstone Rd,21 OX 631 687,"['21', '631', '687']"
141,0101000020E610000084AB4DAD888F5EC0F525C05543DF4240,0102960,55708,Robert Davey Jr Dr:Puddingstone Rd,21,['21']
143,0101000020E6100000DDE45C2F72915EC0B5746094FBE24240,0103150,55995,Santa Clara Av:8th St,314 51A 851,"['314', '851']"
144,0101000020E6100000E032028555915EC01527ADAEF9E24240,0103160,56558,Santa Clara Av:9th St,O,[]
145,0101000020E6100000D64B9D9152915EC05F5BE443F5E24240,0103170,55378,Santa Clara Av:9th St,O,[]
146,0101000020E61000008AB8EF07F2905EC0F261F6B2EDE24240,0103180,55944,Santa Clara Av:Bay St,O 314 51A 851,"['314', '851']"
76,0101000020E610000023AF18BF3A8F5EC02D286783A7DE4240,0101730,53665,Island Dr:Clubhouse Memorial Rd,631 687,"['631', '687']"
149,0101000020E6100000380FCC762A915EC02B0CDB60F2E24240,0103220,51591,Santa Clara Av:Caroline St,314 51A 851,"['314', '851']"
150,0101000020E61000008C9A54D91C905EC00F6A1A6F86E24240,0103230,55579,Santa Clara Av:Chestnut St,O 314 51A 851,"['314', '851']"
152,0101000020E6100000955A947E67905EC020949CB8C1E24240,0103280,52533,Santa Clara Av:Grand St,O 314 51A 851,"['314', '851']"
153,0101000020E6100000761C3F549A8F5EC023BF7E880DE24240,0103330,53370,Santa Clara Av:Oak St,O 314 51A 851,"['314', '851']"
154,0101000020E61000001CEDB8E1778F5EC077137CD3F4E14240,0103340,55511,Santa Clara Av:Park St,O 51A 851,"['51A', '851']"
